,query,id,precision
0,"штраф за неисполнение требования, содержащегося в исполнительном листе",1379,1.0
23,штраф за непредставление сведений для осуществления налогового контроля,1122,1.0
42,штрафы по контракту закупки,250,1.0
45,штраф за сведения пфр,1272,0.75
48,штрафы пени по налогам взносам,1126,1.3333333333333333
51,штрафы за вред федеральным дорогам,729,1.0
52,штраф за передачу исполнительного лица,1556,1.0
57,штрафы за нарушение законодательства об инвалидах,75,1.0
63,штрафные санкции омс,1270,0.75
72,штраф за нарушение работы с денежной наличностью,1115,1.0
87,штраф за нарушение закона персональных данных,798,1.0
99,штраф 1000,457,1.0
115,штраф оператора электронный площадки,290,1.0
116,штрафы за сайты,822,1.0
117,штраф проживание в рф без регистрации места жительства,1561,1.0
134,штраф за нарушение срока предоставления сведений о закрытии счета в банке,1120,0.7142857142857143
138,штрафы за самовольное занятие,194,1.5
143,штраф с арендатора,403,1.0
146,штраф по бюджетному кредиту,1140,1.0
159,штраф за непредоставление,88,1.0
169,штрафы за обязательные периодические медицинские осмотры,626,1.0
173,штрафы по поставке товара,1055,1.0
177,штраф за незаконную рубку деревьев,384,1.0
180,штраф за нарушение правил водных биологических ресурсов,415,1.0
187,штраф за нефть,229,1.0
195,штраф без регистрационного знака,761,1.0
199,штраф за нарушение процедуры торгов,325,1.0
200,штрафы за регистрацию тс,1583,1.0
202,штрафы ценообразование,918,1.0
211,штраф за поставку,489,1.0
219,штраф за уклонение от исполнение требований доступности для инвалидов,462,0.8
234,штраф на должностное лицо документы,1364,1.0
266,"штрафы за нарушение законодательства в сфере закупок товаров, работ, услуг",248,1.0
268,штраф за пользование недрами с нарушением условий предусмотренных лицензией на пользование недрами,200,0.75
286,штраф на пассажира,565,1.0
292,"штрафы за утрату, порчу паспорта",1570,1.0
305,штраф за несвоевременную подачу постановки на учет,430,1.0
314,штраф регистрация ИП,979,1.0
322,штрафные санкции продажи алкогольной продукции,950,0.75
326,штраф за нарушение сроков постановки на учет в налоговый орган,1118,1.0
344,штрафы за использование земельного участка не по целевому назначению,340,1.0
345,штрафы за нарушение законодательства о выборах,20,1.0
350,Штраф знак о запрете курения,173,1.0
353,штраф за нарушение правил санитарной безопасности,395,1.0
358,штрафы по чрезвычайным ситуациям,1646,1.0
360,штраф за невнесение платы за негативное воздействие,419,1.0
364,штраф за уклонение заказчика от заключения контракта,254,0.75
382,штраф за нарушение санитарного законодательства,126,1.0
395,штрафы за пользование объектами животного мира,208,1.0
396,штраф пфр документы,1272,0.75
399,штраф за обман потребителя,920,1.0
400,штраф за ненадлежащее,1532,1.0
409,штраф за нарушение санитарных требований,128,1.0
416,штраф от кадастровой,1036,1.0
419,штраф за нарушение правил остановки,705,1.0
422,штрафы за водоснабжение,230,1.0
433,штраф за нарушение сохранности объекта культурного наследия,221,0.8
446,штраф за самовольное подключение к водоотведению,230,1.0
454,штраф за причинение легкого вреда здоровью,740,1.0
458,штрафы за осуществление торговой деятельности,1053,1.0
465,штраф за загрязнение окружающей среды,417,1.0
469,штрафы по электронному документообороту,294,1.0
472,штраф срока постановки на учет в налоговом органе,1118,1.0
476,штраф скорость,664,1.0
481,штраф за навязывание дополнительных услуг по страховке,1274,0.75
484,штраф добровольный,1434,1.0
485,штраф по договору услуг,848,1.0
489,ШТРАФ ЗА НАРУШЕНИЕ ТРЕБОВАНИЙ К ЗНАКУ О ЗАПРЕТЕ КУРЕНИЯ,173,0.8
492,штраф поставщику,254,1.0
494,штраф за самовольное подключение газа,229,1.0
495,штрафные санкции полученный с электронной площадки,293,0.75
498,штраф за нарушение декларирования продукции,1138,1.0
502,штраф за нарушение за нарушение порядка ведения кассовых операций,1115,0.8333333333333334
503,штраф о контрактной системе в сфере закупок товаров,248,1.0
512,штраф за место для инвалида,75,1.0
525,штраф врача,134,1.0
533,штрафы за привлечение иностранного лица,1427,1.0
535,штраф за наличные,1311,1.0
545,штрафы перевозчика,624,1.0
549,штраф за отказ в доступе,1518,1.0
556,штрафные санкции за невыполнение обязательств по договору,57,0.75
558,штраф в валюте,1197,1.0
571,штраф на должностное лицо налоги,1518,1.0
572,штраф за неисполнение исполнительного листа,1379,1.0
577,штраф как способ обеспечения,248,1.0
586,штраф за проведение лотереи,81,1.0
587,штраф за нарушение порядка проведения специальной оценки условий труда,1094,1.0
596,штрафы в сфере нарушения трудового законодательства,42,0.75
599,штраф за нарушение правил ведения учета,1282,1.0
604,штраф за нарушение кредит,1148,1.0
613,штраф за нарушение пожарной,1636,1.0
615,штрафы о законе о курении,171,1.0
620,штраф за нарушение правил пожарной безопасности в лесу,398,1.0
632,штраф за использование земельного участка не по назначению,340,1.0
646,штрафы жкх,825,1.0
654,штраф индивидуальному предпринимателю как юридическому лицу,1111,1.0
655,штраф трудовые споры,60,1.0
667,штраф за нарушение СОУТ,1094,1.0
677,штраф за незаконную рубку,384,1.0
679,штрафы по охране природы,416,1.0
684,штрафы для целей налогообложения,1243,1.0
696,штраф за незаконное получение кредита или займа,932,0.75
725,штраф за самовольную рубку,384,1.0
726,штраф по исполнительному листу,1379,1.0
728,штраф за неисполнение государственного контракта,1101,1.0
731,штраф на прицеп,618,1.0
734,штраф за нарушение придорожных полос,611,1.0
754,штраф за нарушение лицензируемой деятельности,435,1.0
768,штраф судебного пристава,1359,1.0
776,штрафы федерального казначейства,1167,1.0
782,штрафы персоналу,1524,1.0
785,штрафы за маркировку,1074,1.0
791,штраф за использование герба РФ,1555,1.0
806,штрафные санкции фсс рф,1266,0.8333333333333334
824,штраф медицинские изделия,180,1.0
827,штраф за непредставление сведений об изменении сведений о руководителе,1712,0.8
829,штраф по взносам,1121,1.0
830,штрафы с недобросовестных поставщиков,287,1.0
846,штраф на водителя,778,1.0
847,штрафные санкции за неисполнение обязательство по оплате,1112,0.75
851,штрафы за нарушение учета драг. металлов,1558,0.75
863,штраф управляющей компании,1248,1.0
888,штраф нарушение срока налогового расчёта,1121,1.0
890,штрафы за животных,392,1.0
900,штраф несвоевременное представление формы,1533,1.0
907,штраф за нарушение условий гос. контракта,1096,0.75
913,штраф за по месту пребывания\,1561,1.0
922,штрафы за предрейсовый осмотр водителей,626,1.0
923,штраф при встречной,685,1.0
932,штраф за ввод объекта без разрешения,458,1.0
939,штраф банкротство,933,1.0
948,штрафы операторам,864,1.0
949,штраф за ненадлежащее исполнение государственного контракта,1101,1.0
958,штраф за вред дорогам,729,1.0
963,штраф за отказ от заключения договора,56,1.0
966,штраф за неисполнение решения,2,1.0
971,штраф за нарушение порядка хранения и сроков документов,90,1.0
989,"штрафы при строительстве, реконструкции",444,1.0
993,штраф за передачу транспортного средства пьяному,660,0.75
1007,штраф на головной,1101,1.0
1009,штраф родителям,61,1.0
1043,штраф изолятор,1556,1.0
1046,штраф за нарушение РАБОТЫ НА КАССЕ,1115,1.0
1047,"штрафы за нарушение законодательства Российской Федерации о контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд""",248,1.0
1051,штрафы в государственные фонды,1129,1.5
1053,штрафные с акции,1247,1.0
1059,штраф депозитария,1248,1.0
1064,штраф площадка,290,1.0
1067,штраф от заключения договора по 223-фз,1274,0.8
1077,штраф за размещение информации,825,1.0
1080,штраф за уклонение от заключения государственного контракта,254,1.0
1081,штраф за причинение вреда автомобильным дорогам,729,0.75
1085,штрафы за нарушение порядка кассовых операций,1115,1.0
1091,штраф за езду,733,1.0
1096,штраф по правам потребителей,922,1.0
1097,штраф основание,326,1.0
1100,штраф если без права управления транспортного средства,656,1.0
1119,штраф за остановки под знак,713,1.0
1120,штраф за хищение,244,1.0
1122,штраф за финансового отчета,112,1.0
1123,Штраф за злоупотребление доминирующим положением,1000,1.0
1138,штраф за подделку документов,1585,1.0
1148,штраф легализация,1231,1.0
1156,штраф за ограничение конкуренции,926,1.0
1178,штраф аудит,119,1.0
1182,штраф территориальный фонд,1267,1.0
1186,штраф опасный производственный,431,1.0
1199,штрафы в области безопасности дорожного движения,772,0.75
1207,штраф за нарушение законодательства о государственной регистрации,979,0.75
1258,штрафные санкции за нарушение правил регистрации по месту жительства,1563,0.8333333333333334
1267,штраф за ведение бюджетной сметы,1157,1.0
1270,штраф стоянка транспортного средства инвалид,75,0.75
1292,штрафы за нарушение сроков возврата денежных средств по аукциону,290,0.8333333333333334
1296,штрафы по фсс рф,1266,1.0
1297,штрафы за нарушение охраны недр,345,1.0
1298,штраф нарушение правил привлечения иностранных работников,1427,0.8
1300,штраф временная регистрация по месту проживания,1569,0.75
